function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
15;mg_omp_cpp_intel;resid(void*, void*, void*, int, int, int, double*, int);mg.cpp:988-990,mg.cpp:1005-1019,mg.cpp:1029-1036,mg.cpp:1044-1055;48.207130432129;7.865002155304;0;0;0;0;0;6.2764261201664e-06;1.0239999710393e-06;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5residPvS_S_iiiPdi;;;;;;;;;;
24;mg_omp_cpp_intel;psinv(void*, void*, int, int, int, double*, int);mg.cpp:895-897,mg.cpp:909-928,mg.cpp:939-941,mg.cpp:949-960;21.69779586792;3.5399992465973;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5psinvPvS_iiiPdi;;;;;;;;;;
25;mg_omp_cpp_intel;interp(void*, int, int, int, void*, int, int, int, int);mg.cpp:582-586,mg.cpp:605-646,mg.cpp:653-653,mg.cpp:660-660,mg.cpp:667-742;10.450492858887;1.7049998044968;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL6interpPviiiS_iiii;;;;;;;;;;
1112;libiomp5.so;kmp_flag_64<false, true>::wait(kmp_info*, int, void*);;7.937472820282;1.2950000762939;0;0;0;0;0;7.937472820282;1.2950000762939;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";_ZN11kmp_flag_64ILb0ELb1EE4waitEP8kmp_infoiPv;;;;;;;;;;
16;mg_omp_cpp_intel;mg3P(double*, double*, double*, double*, double*, int, int, int, int);mg.cpp:750-750,mg.cpp:759-761,mg.cpp:770-773,mg.cpp:780-781,mg.cpp:787-787,mg.cpp:793-801,mg.cpp:1083-1097,mg.cpp:1103-1115,mg.cpp:1121-1144;7.3858323097229;1.2049998044968;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL4mg3PPdS_S_S_S_iiii;;;;;;;;;;
71;mg_omp_cpp_intel;__intel_avx_rep_memset;;1.4403907060623;0.23499999940395;0;0;0;0;0;0.061293222010136;0.0099999997764826;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__intel_avx_rep_memset;;;;;;;;;;
-1;kernel;unknown_kernel_region;;1.041984796524;0.1700000166893;0;0;0;0;0;1.041984796524;0.1700000166893;0;0;0;0;0;;"0,0,26.470588235294,0,0,73.529411764706,0,0,0,0,0";unknown kernel region;;;;;;;;;;
20;mg_omp_cpp_intel;comm3(void*, int, int, int, int);mg.cpp:529-531,mg.cpp:538-568;0.76616525650024;0.125;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5comm3Pviiii;;;;;;;;;;
13;mg_omp_cpp_intel;norm2u3(void*, int, int, int, double*, double*, int, int, int);mg.cpp:812-814,mg.cpp:826-855;0.5822856426239;0.095000006258488;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL7norm2u3PviiiPdS0_iii;;;;;;;;;;
1117;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;0.24517288804054;0.03999999910593;0;0;0;0;0;0.24517288804054;0.03999999910593;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;;;;;;;;;;
1995;libc.so.6;__sched_yield;;0.21452628076077;0.035000003874302;0;0;0;0;0;0.21452628076077;0.035000003874302;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";__sched_yield;;;;;;;;;;
1099;libiomp5.so;__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;0.030646611005068;0.0049999998882413;0;0;0;0;0;0.030646611005068;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";_ZL26__kmp_hyper_barrier_gather12barrier_typeP8kmp_infoiiPFvPvS2_ES2_;;;;;;;;;;
