function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
15;mg_omp_cpp_clang++;resid(void*, void*, void*, int, int, int, double*, int);mg.cpp:988-988,mg.cpp:1005-1020,mg.cpp:1029-1036,mg.cpp:1044-1055;51.037502288818;5.1649994850159;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5residPvS_S_iiiPdi;;;;;;;;;;
24;mg_omp_cpp_clang++;psinv(void*, void*, int, int, int, double*, int);mg.cpp:895-895,mg.cpp:909-928,mg.cpp:939-941,mg.cpp:949-960;20.750967025757;2.099999666214;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5psinvPvS_iiiPdi;;;;;;;;;;
25;mg_omp_cpp_clang++;interp(void*, int, int, int, void*, int, int, int, int);mg.cpp:582-582,mg.cpp:605-646,mg.cpp:653-653,mg.cpp:660-660,mg.cpp:667-743;9.9802293777466;1.0099999904633;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL6interpPviiiS_iiii;;;;;;;;;;
16;mg_omp_cpp_clang++;mg3P(double*, double*, double*, double*, double*, int, int, int, int);mg.cpp:750-750,mg.cpp:759-761,mg.cpp:770-773,mg.cpp:780-781,mg.cpp:787-787,mg.cpp:793-801,mg.cpp:1083-1097,mg.cpp:1103-1144;6.8675832748413;0.69499999284744;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL4mg3PPdS_S_S_S_iiii;;;;;;;;;;
484;libomp.so;__kmpc_threadprivate_register_vec;;3.5573089122772;0.35999995470047;0;0;0;0;0;3.5573089122772;0.35999995470047;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";__kmpc_threadprivate_register_vec;;;;;;;;;;
912;libomp.so;__kmp_invoke_microtask;;2.9644243717194;0.29999998211861;0;0;0;0;0;2.9644243717194;0.29999998211861;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";__kmp_invoke_microtask;;;;;;;;;;
3868;libc.so.6;__memset_avx512_unaligned_erms;;1.6304333209991;0.16499999165535;0;0;0;0;0;1.6304333209991;0.16499999165535;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100,0";__memset_avx512_unaligned_erms;;;;;;;;;;
20;mg_omp_cpp_clang++;comm3(void*, int, int, int, int);mg.cpp:529-529,mg.cpp:538-568;0.69169902801514;0.070000000298023;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL5comm3Pviiii;;;;;;;;;;
13;mg_omp_cpp_clang++;norm2u3(void*, int, int, int, double*, double*, int, int, int);mg.cpp:812-812,mg.cpp:826-855;0.49407070875168;0.050000000745058;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";_ZL7norm2u3PviiiPdS0_iii;;;;;;;;;;
-1;kernel;__schedule;;0.34584951400757;0.035000000149012;0;0;0;0;0;0.34584951400757;0.035000000149012;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";__schedule;;;;;;;;;;
-1;kernel;clear_page_erms;;0.34584951400757;0.035000000149012;0;0;0;0;0;0.34584951400757;0.035000000149012;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";clear_page_erms;;;;;;;;;;
